Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.80"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.81"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.82"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.83"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.84"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.86"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.88"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.89"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.90"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.91"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.92"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.93"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.95"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.97"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.98"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.99"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.00"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.02"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.03"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.04"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.06"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.07"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.08"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.09"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.11"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.12"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.13"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.14"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.16"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.18"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.19"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.20"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.21"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.22"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.23"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.25"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:02.27"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.28"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.29"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.30"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.32"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 0.0, mem = 0.8, time = "0:02.32"}
