Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.62"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.63"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.64"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 20.0, mem = 0.8, time = "0:01.67"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.69"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.71"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.73"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.74"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.76"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.77"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:01.79"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.81"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.82"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:01.83"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.85"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 0.0, mem = 0.8, time = "0:01.85"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.87"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.89"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.90"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.92"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.93"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.94"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.96"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.97"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.98"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.00"}
