Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.89"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.90"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.92"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.93"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.95"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:02.97"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.99"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:03.00"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:03.02"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:03.03"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:03.05"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:03.06"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:03.08"}
