Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.66"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.67"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.70"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.72"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:01.73"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.75"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.76"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.78"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.79"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:01.81"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.82"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.84"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.86"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.87"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.89"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.91"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.92"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.93"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.95"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.97"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.98"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.00"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.01"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.02"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.04"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.06"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.07"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.09"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.10"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:02.12"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.13"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.15"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.17"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.18"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.20"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.21"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.23"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.24"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.26"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.27"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.29"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.31"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.32"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.34"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.35"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.36"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.38"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.40"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.41"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.43"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.44"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.46"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.47"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.48"}
