PID USER PR NI VIRT RES SHR S %CPU %MEM TIME+ COMMAND
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.08 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.09 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.11 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.12 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.14 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.15 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.16 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.18 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.19 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.20 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.22 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.24 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.25 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.27 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 6.7 0.7 0:03.28 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 13.3 0.7 0:03.30 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.31 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.32 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.34 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.35 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.37 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.39 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.40 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.41 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.42 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 13.3 0.7 0:03.44 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.45 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.47 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.48 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.50 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.52 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.53 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.54 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.56 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.6 0.7 0:03.57 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.59 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.60 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 6.7 0.7 0:03.61 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.63 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.65 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 13.3 0.7 0:03.67 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.69 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.70 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.71 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.73 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.74 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 6.7 0.7 0:03.75 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.77 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.6 0.7 0:03.78 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.79 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.81 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.83 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.84 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.86 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.87 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.6 0.7 0:03.88 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.90 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.91 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.92 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.94 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 13.3 0.7 0:03.96 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:03.97 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:03.99 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 6.7 0.7 0:04.00 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.01 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.02 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 6.7 0.7 0:04.04 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.05 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.06 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.08 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.10 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.11 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.12 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.14 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.15 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.16 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.18 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 6.6 0.7 0:04.19 Main
