Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.66"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'R', cpu = 13.3, mem = 0.7, time = "0:02.68"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.70"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.71"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'R', cpu = 6.7, mem = 0.7, time = "0:02.73"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.74"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.76"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.77"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.6, mem = 0.7, time = "0:02.78"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.80"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.82"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.83"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.85"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.86"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.88"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.89"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.90"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.92"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.94"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.96"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:02.98"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:02.99"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:03.01"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:03.02"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:03.03"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:03.04"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:03.06"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:03.08"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:03.09"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:03.11"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:03.12"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 119408.0, shr = 27832.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:03.14"}
